;0;4;5;6
3;Brasil;4149041;2750422;1398619
4;Norte;209657;133055;76601
5;Nordeste;621388;389993;231395
6;Sudeste;2328122;1588874;739247
7;Sul;662916;427372;235543
8;Centro-Oeste;326959;211124;115834
9;Rondônia;20538;11863;8675
10;Acre;10364;6237;4128
11;Amazonas;52669;34749;17919
12;Roraima;8016;4958;3057
13;Pará;86691;55481;31211
14;Amapá;11349;7464;3885
15;Tocantins;20028;12304;7724
16;Maranhão;55068;33820;21248
17;Piauí;37135;21668;15467
18;Ceará;99062;63935;35126
19;Rio Grande do Norte;46857;30398;16459
20;Paraíba;52223;33369;18855
21;Pernambuco;120260;73253;47007
22;Alagoas;33596;21398;12198
23;Sergipe;29020;17596;11422
24;Bahia;148167;94556;53612
25;Minas Gerais;452258;291778;160479
26;Espírito Santo;75667;49648;26018
27;Rio de Janeiro;406529;265723;140805
28;São Paulo;1393668;981724;411944
29;Paraná;255635;166579;89056
30;Santa Catarina;185742;126554;59188
31;Rio Grande do Sul;221541;134240;87300
32;Mato Grosso do Sul;46340;28241;18100
33;Mato Grosso;56776;33307;23468
34;Goiás;116867;74711;42156
35;Distrito Federal;106976;74866;32109
