;uf;total;total_homens;total_mulheres
3;Brasil;8079707;1677985;6401723
4;Norte;599785;141169;458616
5;Nordeste;1822087;363905;1458181
6;Sudeste;3652397;768288;2884108
7;Sul;1256291;248574;1007718
8;Centro-Oeste;749148;156048;593101
9;Rondônia;63584;13963;49622
10;Acre;33379;9121;24258
11;Amazonas;121988;30738;91249
12;Roraima;23977;5880;18098
13;Pará;248397;58128;190270
14;Amapá;36754;9794;26960
15;Tocantins;71705;13548;58158
16;Maranhão;206222;40667;165555
17;Piauí;128416;25959;102457
18;Ceará;294578;64582;229996
19;Rio Grande do Norte;135434;28273;107161
20;Paraíba;150862;30025;120837
21;Pernambuco;281695;57333;224362
22;Alagoas;106971;20060;86911
23;Sergipe;83176;16801;66376
24;Bahia;434735;80208;354528
25;Minas Gerais;832482;157960;674521
26;Espírito Santo;161332;29788;131544
27;Rio de Janeiro;612263;145864;466399
28;São Paulo;2046321;434677;1611645
29;Paraná;501471;98191;403280
30;Santa Catarina;333537;67571;265964
31;Rio Grande do Sul;421284;82812;338472
32;Mato Grosso do Sul;128352;26911;101443
33;Mato Grosso;141121;27052;114069
34;Goiás;288616;56564;232052
35;Distrito Federal;191061;45521;145538
